id,name_keywords,id_keywords
862,"jealousy, toy, boy, friendship, friends, rivalry, boy next door, new toy, toy comes to life","931, 4290, 5202, 6054, 9713, 9823, 165503, 170722, 187065"
8844,"board game, disappearance, based on children's book, new home, recluse, giant insect","10090, 10941, 15101, 33467, 158086, 158091"
15602,"fishing, best friend, duringcreditsstinger, old men","1495, 12392, 179431, 208510"
31357,"based on novel, interracial relationship, single mother, divorce, chick flick","818, 10131, 14768, 15160, 33455"
11862,"baby, midlife crisis, confidence, aging, daughter, mother daughter relationship, pregnancy, contraception, gynecologist","1009, 1599, 2246, 4995, 5600, 10707, 13149, 33358, 170521"
949,"robbery, detective, bank, obsession, chase, shooting, thief, honor, murder, suspense, heist, betrayal, money, gang, cat and mouse, criminal mastermind, cult film, ex-con, heist movie, one last job, loner, bank job, neo-noir, gun fight, crime epic","642, 703, 974, 1523, 3713, 7281, 9727, 9812, 9826, 9937, 10051, 10085, 10594, 10726, 15076, 18023, 34117, 156121, 159343, 159434, 167104, 192261, 207268, 208009, 214983"
11860,"paris, brother brother relationship, chauffeur, long island, fusion, millionaire","90, 380, 2072, 9398, 9492, 33626"
45325,,
9091,"terrorist, hostage, explosive, vice president","949, 1562, 1653, 193533"
710,"cuba, falsely accused, secret identity, computer virus, secret base, secret intelligence service, kgb, satellite, special car, cossack, electromagnetic pulse, time bomb, st. petersburg russia, ejection seat, red army","701, 769, 1308, 2812, 3268, 3272, 3278, 3376, 3531, 3560, 3561, 3562, 3563, 3564, 193008"
9087,"white house, usa president, new love, widower, wildlife conservation","833, 840, 1605, 33476, 211505"
12110,"dracula, spoof","3633, 11931"
21032,"wolf, dog-sledding race, alaska, dog, goose, bear attack, dog sled, frozen lake","1994, 6411, 9880, 15162, 15169, 158175, 158370, 158371"
10858,"usa president, presidential election, watergate scandal, biography, government, historical figure","840, 2946, 4240, 5565, 6086, 6165"
1408,"exotic island, treasure, map, ship, scalp, pirate","911, 1454, 1969, 3799, 5470, 12988"
524,"poker, drug abuse, 1970s, overdose, illegal prostitution","383, 726, 1228, 2635, 33625"
4584,"bowling, based on novel, servant, country life, jane austen, inheritance, military officer, period drama, rainstorm, horse and carriage, decorum","420, 818, 964, 2755, 7564, 10911, 11109, 15060, 156507, 156510, 156512"
5,"hotel, new year's eve, witch, bet, hotel room, sperm, los angeles, hoodlum, woman director, episode film","612, 613, 616, 622, 922, 2700, 12670, 160488, 187056, 198129"
9273,"africa, indigenous, human animal relationship, bat","409, 1551, 2526, 5155"
11517,"brother brother relationship, subway, new york city, new york subway, train robbery","380, 1552, 14512, 155735, 156120"
8012,"gambling, miami, based on novel, job, murder, travel, mafia, money, debt, mobster, business, hollywood, gangster, crime, violence, drug, producer, con","395, 416, 818, 8438, 9826, 9935, 10391, 10594, 11061, 11578, 12094, 12396, 13142, 14536, 14819, 14964, 33879, 159608"
