id,title,vote_count,vote_average,popularity,wr
278,The Shawshank Redemption,8358.0,8.5,51.645403,8.482858383673992
238,The Godfather,6024.0,8.5,41.109264,8.476271532751225
155,The Dark Knight,12269.0,8.3,123.167259,8.28911220796582
550,Fight Club,9678.0,8.3,63.869599,8.286212303652439
680,Pulp Fiction,8670.0,8.3,140.950236,8.284618496551714
424,Schindler's List,4436.0,8.3,41.725123,8.270101045459416
244786,Whiplash,4376.0,8.3,64.29999,8.269695727503603
129,Spirited Away,3968.0,8.3,41.048867,8.26661853905698
637,Life Is Beautiful,3643.0,8.3,39.39497,8.263680825868112
240,The Godfather: Part II,3418.0,8.3,36.629307,8.261324478065438
510,One Flew Over the Cuckoo's Nest,3001.0,8.3,35.529554,8.256038443110763
539,Psycho,2405.0,8.3,36.826309,8.245365902212194
13,Forrest Gump,8147.0,8.2,48.307194,8.184247076970957
311,Once Upon a Time in America,1104.0,8.3,32.182851,8.183772348293708
1891,The Empire Strikes Back,5998.0,8.2,19.470959,8.178649684181702
77338,The Intouchables,5410.0,8.2,16.086919,8.17635041940127
101,Leon: The Professional,4293.0,8.2,20.477329,8.170267854002057
497,The Green Mile,4166.0,8.2,19.96678,8.169372222469386
769,GoodFellas,3211.0,8.2,15.424092,8.160402726136443
73,American History X,3120.0,8.2,18.157166,8.159266022060232
389,12 Angry Men,2130.0,8.2,16.503959,8.140767564188502
4935,Howl's Moving Castle,2049.0,8.2,16.136048,8.138481796060475
128,Princess Mononoke,2041.0,8.2,17.166725,8.138246432296
598,City of God,1852.0,8.2,14.95927,8.132110036767054
567,Rear Window,1531.0,8.2,17.911314,8.118325926585033
27205,Inception,14075.0,8.1,29.108149,8.091212268313694
157336,Interstellar,11187.0,8.1,32.213481,8.088953750105093
122,The Lord of the Rings: The Return of the King,8226.0,8.1,29.324358,8.08500160583989
11,Star Wars,6778.0,8.1,42.149697,8.081820927054912
807,Se7en,5915.0,8.1,18.45743,8.079190828152713
12477,Grave of the Fireflies,974.0,8.2,0.010902,8.073899697198181
274,The Silence of the Lambs,4549.0,8.1,4.307222,8.073010065216556
77,Memento,4168.0,8.1,15.450789,8.070572140808661
694,The Shining,3890.0,8.1,19.611589,8.06849575886572
500,Reservoir Dogs,3821.0,8.1,12.22034,8.067934200447155
629,The Usual Suspects,3334.0,8.1,16.302466,8.063319530121435
346,Seven Samurai,892.0,8.2,15.01777,8.062922813090166
